symbol,contractType,status,baseAsset,t0Iso,origin,spotFirstIso,mexcFirstIso
RIFUSDT,PERPETUAL,TRADING,RIF,2023-10-21T12:00:00.000Z,C,2021-01-07,2023-05-09
GASUSDT,PERPETUAL,TRADING,GAS,2023-10-25T02:00:00.000Z,C,2023-03-17,2023-10-23
POLYXUSDT,PERPETUAL,TRADING,POLYX,2023-10-25T02:00:00.000Z,C,2022-10-17,2023-04-21
POWRUSDT,PERPETUAL,TRADING,POWR,2023-10-27T02:00:00.000Z,C,2021-11-17,2023-10-24
TIAUSDT,PERPETUAL,TRADING,TIA,2023-10-31T18:00:00.000Z,A,2023-10-31,2023-10-31
CAKEUSDT,PERPETUAL,TRADING,CAKE,2023-11-02T12:00:00.000Z,C,2021-02-19,2023-04-26
SNTUSDT,PERPETUAL,SETTLING,SNT,2023-11-02T12:00:00.000Z,A,,2023-11-02
MEMEUSDT,PERPETUAL,TRADING,MEME,2023-11-03T12:00:00.000Z,A,2023-11-03,2023-11-03
TWTUSDT,PERPETUAL,TRADING,TWT,2023-11-03T14:00:00.000Z,C,2021-01-27,2022-11-15
TOKENUSDT,PERPETUAL,SETTLING,TOKEN,2023-11-03T15:00:00.000Z,U,,
ORDIUSDT,PERPETUAL,TRADING,ORDI,2023-11-07T12:00:00.000Z,A,2023-11-07,2025-03-27
STEEMUSDT,PERPETUAL,TRADING,STEEM,2023-11-08T14:00:00.000Z,C,2022-04-22,2023-10-25
BADGERUSDT,PERPETUAL,SETTLING,BADGER,2023-11-09T12:00:00.000Z,U,,
ILVUSDT,PERPETUAL,TRADING,ILV,2023-11-10T16:00:00.000Z,C,2021-09-22,2021-11-24
NTRNUSDT,PERPETUAL,SETTLING,NTRN,2023-11-14T12:00:00.000Z,U,,
KASUSDT,PERPETUAL,TRADING,KAS,2023-11-17T02:00:00.000Z,B,,2022-11-28
BEAMXUSDT,PERPETUAL,TRADING,BEAMX,2023-11-17T13:00:00.000Z,A,2023-11-14,2023-11-20
1000BONKUSDT,PERPETUAL,TRADING,1000BONK,2023-11-22T14:00:00.000Z,A,,2025-03-27
PYTHUSDT,PERPETUAL,TRADING,PYTH,2023-11-22T14:00:00.000Z,A,2024-02-02,2023-11-20
SUPERUSDT,PERPETUAL,TRADING,SUPER,2023-11-26T13:00:00.000Z,C,2021-03-25,2023-03-31
USTCUSDT,PERPETUAL,TRADING,USTC,2023-11-27T12:00:00.000Z,C,2023-03-10,2022-05-26
ONGUSDT,PERPETUAL,TRADING,ONG,2023-11-27T13:00:00.000Z,C,2019-02-16,2023-11-27
ETHWUSDT,PERPETUAL,TRADING,ETHW,2023-11-28T12:00:00.000Z,B,,2022-08-12
JTOUSDT,PERPETUAL,TRADING,JTO,2023-12-08T10:00:00.000Z,A,2023-12-07,2023-12-07
1000SATSUSDT,PERPETUAL,TRADING,1000SATS,2023-12-12T14:00:00.000Z,A,2023-12-12,
AUCTIONUSDT,PERPETUAL,TRADING,AUCTION,2023-12-15T13:00:00.000Z,C,2021-10-29,2023-09-19
1000RATSUSDT,PERPETUAL,TRADING,1000RATS,2023-12-15T14:00:00.000Z,B,,2023-11-22
ACEUSDT,PERPETUAL,TRADING,ACE,2023-12-18T10:00:00.000Z,A,2023-12-18,2023-12-18
MOVRUSDT,PERPETUAL,TRADING,MOVR,2023-12-26T12:00:00.000Z,C,2021-11-08,2023-11-23
NFPUSDT,PERPETUAL,SETTLING,NFP,2023-12-27T13:00:00.000Z,U,,
BNBUSDC,PERPETUAL,TRADING,BNB,2024-01-04T12:00:00.000Z,C,2017-11-06,2025-03-28
