block,universe,regime,bucket,filter,dir,holdDays,n,mean,median,sd,se,t,winPct,maeP95,maeP99,exWorst10
regime,CRYPTO_NEW,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,long,3,214,-1.6313,-6.8520,32.5123,2.2225,-0.7340,34.11,93.972,197.762,0.5487
regime,CRYPTO_NEW,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,long,7,214,5.5341,-11.3695,121.0174,8.2726,0.6690,32.71,171.533,365.519,8.6548
regime,CRYPTO_NEW,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,long,14,214,6.3435,-12.4758,86.0556,5.8826,1.0783,36.45,215.815,471.822,9.8858
regime,CRYPTO_NEW,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,long,29,214,10.8466,-15.3789,108.4814,7.4156,1.4627,40.19,345.921,795.570,15.2778
regime,ALL,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,short,1,15,3.8375,2.3501,15.0156,3.8770,0.9898,66.67,31.986,36.563,18.5625
regime,ALL,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,short,3,15,4.0037,3.7765,20.0108,5.1668,0.7749,60.00,41.787,49.403,24.6111
regime,ALL,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,short,7,15,2.2343,17.5515,54.2873,14.0169,0.1594,73.33,123.807,250.890,40.1952
regime,ALL,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,short,14,15,7.1189,14.1733,37.1296,9.5868,0.7426,66.67,139.641,254.056,42.1214
regime,ALL,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,short,29,15,2.1962,11.5183,62.1636,16.0506,0.1368,73.33,225.380,271.204,49.8095
regime,ALL,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,short,1,190,-1.5475,2.8783,26.6996,1.9370,-0.7989,62.11,66.382,176.329,3.4496
regime,ALL,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,short,3,190,0.7359,6.3945,33.4549,2.4271,0.3032,69.47,102.287,232.193,6.7981
regime,ALL,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,short,7,190,-6.4982,10.6737,125.9563,9.1378,-0.7111,70.00,187.773,379.147,9.5327
regime,ALL,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,short,14,190,-5.4727,11.3358,86.7089,6.2905,-0.8700,65.26,250.624,494.535,9.5606
regime,ALL,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,short,29,190,-14.1445,5.6831,110.3615,8.0065,-1.7666,57.37,334.442,829.605,5.1546
regime,ALL,R1 BTC 7d ret,UP (>=+5%),F0 no filter,short,1,81,-2.5232,1.3076,23.7371,2.6375,-0.9567,59.26,50.258,153.247,4.1290
regime,ALL,R1 BTC 7d ret,UP (>=+5%),F0 no filter,short,3,81,0.5830,5.6474,27.1888,3.0210,0.1930,58.02,94.832,181.153,8.4317
regime,ALL,R1 BTC 7d ret,UP (>=+5%),F0 no filter,short,7,81,-2.6838,7.9331,53.6730,5.9637,-0.4500,61.73,158.367,287.723,11.8657
regime,ALL,R1 BTC 7d ret,UP (>=+5%),F0 no filter,short,14,81,-10.1241,8.8432,69.7714,7.7524,-1.3059,60.49,170.443,424.014,9.4103
regime,ALL,R1 BTC 7d ret,UP (>=+5%),F0 no filter,short,29,81,-14.4210,4.2237,77.1373,8.5708,-1.6826,50.62,274.053,621.915,8.1811
regime,ALL,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,long,1,15,-3.9175,-2.4301,15.0156,3.8770,-1.0104,33.33,31.986,36.563,9.8773
regime,ALL,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,long,3,15,-4.0837,-3.8565,20.0108,5.1668,-0.7904,40.00,41.787,49.403,15.2952
regime,ALL,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,long,7,15,-2.3143,-17.6315,54.2873,14.0169,-0.1651,26.67,123.807,250.890,49.9750
regime,ALL,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,long,14,15,-7.1989,-14.2533,37.1296,9.5868,-0.7509,33.33,139.641,254.056,33.7496
regime,ALL,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,long,29,15,-2.2762,-11.5983,62.1636,16.0506,-0.1418,26.67,225.380,271.204,56.4618
regime,ALL,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,long,1,190,1.4675,-2.9583,26.6996,1.9370,0.7576,36.32,66.382,176.329,3.1873
regime,ALL,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,long,3,190,-0.8159,-6.4745,33.4549,2.4271,-0.3362,30.53,102.287,232.193,1.5444
regime,ALL,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,long,7,190,6.4182,-10.7537,125.9563,9.1378,0.7024,30.00,187.773,379.147,9.8654
regime,ALL,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,long,14,190,5.3927,-11.4158,86.7089,6.2905,0.8573,34.74,250.624,494.535,9.3225
regime,ALL,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,long,29,190,14.0645,-5.7631,110.3615,8.0065,1.7566,42.63,334.442,829.605,19.2180
regime,ALL,R1 BTC 7d ret,UP (>=+5%),F0 no filter,long,1,81,2.4432,-1.3876,23.7371,2.6375,0.9263,38.27,50.258,153.247,5.3681
regime,ALL,R1 BTC 7d ret,UP (>=+5%),F0 no filter,long,3,81,-0.6630,-5.7274,27.1888,3.0210,-0.2195,41.98,94.832,181.153,3.7625
regime,ALL,R1 BTC 7d ret,UP (>=+5%),F0 no filter,long,7,81,2.6038,-8.0131,53.6730,5.9637,0.4366,37.04,158.367,287.723,8.6130
regime,ALL,R1 BTC 7d ret,UP (>=+5%),F0 no filter,long,14,81,10.0441,-8.9232,69.7714,7.7524,1.2956,38.27,170.443,424.014,17.8416
regime,ALL,R1 BTC 7d ret,UP (>=+5%),F0 no filter,long,29,81,14.3410,-4.3037,77.1373,8.5708,1.6732,49.38,274.053,621.915,24.7363
regime,ALL,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,short,1,61,-5.9883,0.9359,31.7436,4.0644,-1.4734,54.10,55.110,191.353,3.5629
regime,ALL,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,short,3,61,-2.6390,5.4939,39.1337,5.0106,-0.5267,60.66,124.565,294.066,8.8474
regime,ALL,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,short,7,61,-2.7460,10.1968,54.6386,6.9958,-0.3925,68.85,143.006,411.736,15.1389
regime,ALL,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,short,14,61,2.6404,14.1733,43.5169,5.5718,0.4739,65.57,169.037,411.736,17.9670
regime,ALL,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,short,29,61,-1.6397,4.7036,43.9032,5.6212,-0.2917,59.02,199.242,411.736,13.1735
regime,ALL,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,short,1,76,-2.3461,2.3028,28.8326,3.3073,-0.7094,60.53,76.680,209.643,6.3959
regime,ALL,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,short,3,76,-0.3297,5.1222,30.2283,3.4674,-0.0951,63.16,99.175,209.643,9.1411
regime,ALL,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,short,7,76,-0.3644,9.5888,50.3221,5.7723,-0.0631,65.79,205.602,259.547,15.1509
