entryH,SL,TP,maxHold,n,skipped,winRate,avgPnL,medPnL,tpCount,slCount,timeoutCount,timeoutWin,timeoutLoss,timeoutRate,bothTouched
6,40,30,7,485,0,52.37,-0.613,0.611,85,74,326,169,157,67.2,0
6,40,30,14,485,0,52.16,0.217,0.520,102,84,299,151,148,61.6,0
6,50,3,3,485,0,71.96,-0.610,2.960,314,14,157,35,122,32.4,1
6,50,3,7,485,0,78.35,-0.554,2.960,362,16,107,18,89,22.1,1
6,50,3,14,485,0,81.44,-0.192,2.960,390,17,78,5,73,16.1,1
6,50,5,3,485,0,67.63,-0.379,4.960,261,19,205,67,138,42.3,1
6,50,5,7,485,0,71.96,-0.485,4.960,307,22,156,42,114,32.2,1
6,50,5,14,485,0,74.43,0.072,4.960,346,23,116,15,101,23.9,1
6,50,8,3,485,0,63.30,-0.022,2.867,214,24,247,93,154,50.9,1
6,50,8,7,485,0,66.39,-0.211,7.960,252,28,205,70,135,42.3,1
6,50,8,14,485,0,68.04,0.340,7.960,285,30,170,45,125,35.1,1
6,50,10,3,485,0,60.21,-0.432,1.769,173,30,282,119,163,58.1,1
6,50,10,7,485,0,63.09,-0.451,4.327,223,34,228,83,145,47.0,1
6,50,10,14,485,0,63.71,-0.067,9.960,250,38,197,59,138,40.6,1
6,50,15,3,485,0,56.70,-0.099,1.089,134,35,316,141,175,65.2,0
6,50,15,7,485,0,60.41,0.104,2.831,171,40,274,122,152,56.5,0
6,50,15,14,485,0,60.82,0.693,4.422,197,44,244,98,146,50.3,0
6,50,20,3,485,0,55.05,0.045,0.834,106,38,341,161,180,70.3,0
6,50,20,7,485,0,56.91,-0.581,1.722,131,51,303,145,158,62.5,0
6,50,20,14,485,0,57.32,0.169,2.839,153,56,276,125,151,56.9,0
6,50,30,3,485,0,51.75,-0.502,0.311,68,48,369,183,186,76.1,0
6,50,30,7,485,0,53.61,-0.809,0.924,89,62,334,171,163,68.9,0
6,50,30,14,485,0,54.23,0.173,1.561,107,69,309,156,153,63.7,0
12,10,3,3,485,0,59.59,-0.737,2.960,249,92,144,40,104,29.7,7
12,10,3,7,485,0,63.71,-0.872,2.960,295,110,80,14,66,16.5,7
12,10,3,14,485,0,64.54,-1.002,2.960,308,125,52,5,47,10.7,7
12,10,5,3,485,0,54.43,-0.472,0.725,194,104,187,70,117,38.6,7
12,10,5,7,485,0,57.73,-0.519,4.960,246,130,109,34,75,22.5,7
12,10,5,14,485,0,58.35,-0.583,4.960,268,145,72,15,57,14.8,7
12,10,8,3,485,0,48.87,-0.328,-0.076,140,120,225,97,128,46.4,6
12,10,8,7,485,0,50.93,-0.283,0.332,185,152,148,62,86,30.5,6
12,10,8,14,485,0,50.72,-0.390,0.152,207,171,107,39,68,22.1,6
12,10,10,3,485,0,46.60,-0.244,-0.341,115,128,242,111,131,49.9,4
12,10,10,7,485,0,48.04,-0.250,-0.483,152,163,170,81,89,35.1,4
12,10,10,14,485,0,47.42,-0.314,-1.031,176,185,124,54,70,25.6,4
12,10,15,3,485,0,42.47,-0.330,-0.632,72,143,270,134,136,55.7,2
12,10,15,7,485,0,43.51,-0.270,-1.451,102,183,200,109,91,41.2,2
12,10,15,14,485,0,41.65,-0.430,-2.953,116,210,159,86,73,32.8,2
12,10,20,3,485,0,40.62,-0.338,-0.785,52,151,282,145,137,58.1,1
12,10,20,7,485,0,40.62,-0.536,-2.202,67,194,224,130,94,46.2,1
12,10,20,14,485,0,37.94,-0.611,-5.290,82,226,177,102,75,36.5,1
12,10,30,3,485,0,38.97,-0.305,-0.962,29,159,297,160,137,61.2,1
12,10,30,7,485,0,38.14,-0.558,-3.571,40,205,240,145,95,49.5,1
12,10,30,14,485,0,35.46,-0.454,-7.478,49,237,199,123,76,41.0,1
12,15,3,3,485,0,63.92,-0.740,2.960,270,57,158,40,118,32.6,3
12,15,3,7,485,0,68.66,-0.828,2.960,319,66,100,14,86,20.6,3
12,15,3,14,485,0,70.31,-0.920,2.960,335,75,75,6,69,15.5,3
12,15,5,3,485,0,58.76,-0.467,1.807,214,67,204,71,133,42.1,3
12,15,5,7,485,0,62.47,-0.522,4.960,269,81,135,34,101,27.8,3
12,15,5,14,485,0,64.12,-0.534,4.960,295,92,98,16,82,20.2,3
12,15,8,3,485,0,53.81,-0.217,0.538,162,79,244,99,145,50.3,3
12,15,8,7,485,0,56.49,-0.167,2.489,212,98,175,62,113,36.1,3
12,15,8,14,485,0,57.32,-0.197,4.482,236,111,138,42,96,28.5,3
12,15,10,3,485,0,51.34,-0.177,0.202,136,88,261,113,148,53.8,2
12,15,10,7,485,0,53.40,-0.146,1.269,176,107,202,83,119,41.6,2
12,15,10,14,485,0,54.02,-0.070,1.750,205,122,158,57,101,32.6,2
12,15,15,3,485,0,47.01,-0.281,-0.291,90,103,292,138,154,60.2,0
12,15,15,7,485,0,48.66,-0.213,-0.301,122,126,237,114,123,48.9,0
12,15,15,14,485,0,47.84,-0.279,-0.688,140,147,198,92,106,40.8,0
12,15,20,3,485,0,44.74,-0.415,-0.484,65,113,307,152,155,63.3,0
12,15,20,7,485,0,45.36,-0.530,-1.058,85,139,261,135,126,53.8,0
12,15,20,14,485,0,43.71,-0.483,-1.815,103,163,219,109,110,45.2,0
12,15,30,3,485,0,43.09,-0.316,-0.559,38,121,326,171,155,67.2,0
12,15,30,7,485,0,42.47,-0.501,-1.469,54,151,280,152,128,57.7,0
12,15,30,14,485,0,40.62,-0.331,-2.543,65,177,243,132,111,50.1,0
12,20,3,3,485,0,66.80,-0.598,2.960,284,39,162,40,122,33.4,2
12,20,3,7,485,0,71.96,-0.629,2.960,335,45,105,14,91,21.6,2
12,20,3,14,485,0,74.43,-0.635,2.960,355,49,81,6,75,16.7,2
12,20,5,3,485,0,61.65,-0.370,2.685,228,49,208,71,137,42.9,2
12,20,5,7,485,0,65.57,-0.435,4.960,283,58,144,35,109,29.7,2
12,20,5,14,485,0,67.63,-0.354,4.960,311,64,110,17,93,22.7,2
12,20,8,3,485,0,56.49,-0.198,0.956,175,61,249,99,150,51.3,2
12,20,8,7,485,0,59.38,-0.205,3.601,225,73,187,63,124,38.6,2
12,20,8,14,485,0,60.62,-0.163,7.960,251,83,151,43,108,31.1,2
12,20,10,3,485,0,53.81,-0.259,0.538,148,71,266,113,153,54.8,3
